RecordID,NPA,NXX,LATA,RateCenterName ,WireCenterName,WireCenterCity,State,ZipCode1,ZipCode2,ZipCode3,FIPSCode ,Latitude,Longitude
188,213,458,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
189,213,459,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
190,213,460,730,LACZ 6,LOS ANGELES,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
191,213,461,730,LACZ 9,LOS ANGELES-MADISON,LOS ANGELES,CA,90003,90044,90047,06037,33.9767,-118.2930
192,213,462,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
193,213,463,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
194,213,464,730,LACZ 12,LOS ANGELES,LOS ANGELES,CA,90062,90043,90008,06037,33.9989,-118.3220
195,213,465,730,LACZ 7,LOS ANGELES-MADISON,LOS ANGELES,CA,90017,90071,90015,06037,34.0521,-118.2668
196,213,466,730,LACZ 5,SHERMAN OAKS,LOS ANGELES,CA,90023,90063,90033,06037,34.0341,-118.1979
197,213,467,730,LACZ 10,LOS ANGELES-RAMPART,LOS ANGELES,CA,90057,90006,90017,06037,34.0587,-118.2822
198,213,468,730,LACZ 13,LOS ANGELES,LOS ANGELES,CA,90036,90019,90038,06037,34.0662,-118.3420
199,213,469,730,LACZ 4,SHERMAN OAKS,LOS ANGELES,CA,90031,90033,90012,06037,34.0737,-118.2178
200,213,471,730,LACZ 10,LOS ANGELES-MADISON,LOS ANGELES,CA,90057,90006,90017,06037,34.0587,-118.2822
201,213,473,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
202,213,474,730,LACZ 1,LOS ANGELES,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
203,213,476,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
204,213,477,730,LACZ 7,IRVINE,LOS ANGELES,CA,90015,90014,90071,06037,34.0372,-118.2586
205,213,478,730,LACZ 10,LOS ANGELES-MADISON,LOS ANGELES,CA,90057,90006,90017,06037,34.0587,-118.2822
206,213,480,730,LACZ 10,LOS ANGELES-RAMPART,LOS ANGELES,CA,90057,90006,90017,06037,34.0587,-118.2822
207,213,481,730,LACZ 1,LOS ANGELES-UNION,LOS ANGELES,CA,90057,90017,90026,06037,34.0656,-118.2641
208,213,482,730,LACZ 1,LOS ANGELES-UNION,LOS ANGELES,CA,90057,90017,90026,06037,34.0656,-118.2641
209,213,483,730,LACZ 10,LOS ANGELES-UNION,LOS ANGELES,CA,90057,90017,90026,06037,34.0656,-118.2641
210,213,484,730,LACZ 10,LOS ANGELES-UNION,LOS ANGELES,CA,90057,90017,90026,06037,34.0656,-118.2641
211,213,485,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
212,213,486,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
213,213,487,730,LACZ 10,LOS ANGELES-RAMPART,LOS ANGELES,CA,90057,90006,90017,06037,34.0587,-118.2822
214,213,488,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
215,213,489,730,LACZ 1,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
216,213,491,730,MONTEBELLO,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
217,213,493,730,LACZ 7,LOS ANGELES-MADISON,LOS ANGELES,CA,90015,90079,90014,06037,34.0333,-118.2650
218,213,495,730,LACZ 8,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
219,213,497,730,LACZ 5,LOS ANGELES,LOS ANGELES,CA,90023,90063,90033,06037,34.0341,-118.1979
220,213,510,730,LACZ 6,LOS ANGELES-MADISON,LOS ANGELES,CA,90071,90013,90014,06037,34.0500,-118.2505
